
iShares Russell 2000 Index (ETF),Last: 292.99,Change:  1.82
"Date: July 27, 2026 at 10:37 AM EDT",Bid: 292.97,Ask: 292.99,Size: 680*200,"Volume: 4,630,902"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Aug 03 2026,IWM260803C00180000,0,0,112.92,113.28,0,1.1736,0.9998,0,0,180.00,IWM260803P00180000,0,0,0,0.01,0,1.0674,0,0,0
Mon Aug 03 2026,IWM260803C00190000,0,0,102.91,103.3,0,1.1046,0.9998,0,0,190.00,IWM260803P00190000,0,0,0,0.01,0,0.9555,0,0,0
Mon Aug 03 2026,IWM260803C00200000,0,0,92.94,93.29,0,0.9505,0.9997,0,0,200.00,IWM260803P00200000,0,0,0,0.01,0,0.8489,-0.0001,0,0
Mon Aug 03 2026,IWM260803C00205000,0,0,87.93,88.31,0,0.9158,0.9997,0,0,205.00,IWM260803P00205000,0,0,0,0.01,0,0.7974,-0.0001,0,0
Mon Aug 03 2026,IWM260803C00210000,0,0,82.93,83.31,0,0.8765,0.9996,0,0,210.00,IWM260803P00210000,0,0,0,0.01,0,0.7469,-0.0002,0,0
Mon Aug 03 2026,IWM260803C00215000,0,0,77.94,78.3,0,0.7484,0.9994,0,0,215.00,IWM260803P00215000,0,0,0,0.01,0,0.6976,-0.0004,0,0
Mon Aug 03 2026,IWM260803C00220000,0,0,72.96,73.32,0,0.7402,0.9992,0.0001,0,220.00,IWM260803P00220000,0,0,0,0.02,0,0.6872,-0.0006,0.0001,0
Mon Aug 03 2026,IWM260803C00225000,0,0,67.94,68.33,0,0.7028,0.9988,0.0001,0,225.00,IWM260803P00225000,0,0,0,0.02,0,0.6372,-0.001,0.0001,0
Mon Aug 03 2026,IWM260803C00230000,0,0,62.97,63.33,0,0.6512,0.9982,0.0002,0,230.00,IWM260803P00230000,0,0,0,0.02,0,0.5882,-0.0015,0.0002,0
Mon Aug 03 2026,IWM260803C00235000,0,0,57.96,58.34,0,0.6193,0.9975,0.0003,0,235.00,IWM260803P00235000,0,0,0.01,0.02,0,0.5604,-0.0023,0.0003,0
Mon Aug 03 2026,IWM260803C00240000,0,0,52.98,53.34,0,0.5498,0.9964,0.0005,0,240.00,IWM260803P00240000,0,0,0.01,0.03,0,0.526,-0.0034,0.0005,0
