
Bank of America Corp,Last: 62.1501,Change:  0.0201
"Date: July 28, 2026 at 9:49 AM EDT",Bid: 62.15,Ask: 62.18,Size: 1000*500,"Volume: 1,610,308"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jul 31 2026,BAC260731C00030000,31.4,0,30.4,34.15,0,3.6776,0.9999,0,15,30.00,BAC260731P00030000,0,0,0,0.02,0,2.8,0,0,0
Fri Jul 31 2026,BAC260731C00035000,27.2,0,25.4,29.15,0,2.9544,0.9999,0,17,35.00,BAC260731P00035000,0.02,0,0,0.02,0,2.2427,0,0,9
Fri Jul 31 2026,BAC260731C00040000,21.99,0,20.9,23.5,0,1.8566,0.9998,0,85,40.00,BAC260731P00040000,0.03,0,0,0.02,0,1.7563,-0.0001,0,8
Fri Jul 31 2026,BAC260731C00043000,19.06,0,17.95,20.5,0,1.7586,0.9998,0.0001,15,43.00,BAC260731P00043000,0.05,0,0,0.02,0,1.4905,-0.0001,0.0001,2
Fri Jul 31 2026,BAC260731C00044000,18.27,0.22,16.95,19.7,2,2.0195,0.9997,0.0001,9,44.00,BAC260731P00044000,0.03,0,0,0.02,0,1.4055,-0.0002,0.0001,19
Fri Jul 31 2026,BAC260731C00045000,17.35,0.3,16.05,18.65,2,1.9651,0.9997,0.0001,52,45.00,BAC260731P00045000,0.02,0,0,0.02,0,1.3221,-0.0002,0.0001,29
Fri Jul 31 2026,BAC260731C00046000,16.23,0.18,14.9,17.65,1,1.659,0.9996,0.0002,77,46.00,BAC260731P00046000,0.03,0,0,0.02,0,1.2402,-0.0003,0.0002,23
Fri Jul 31 2026,BAC260731C00047000,15.33,0.23,14.05,16.8,1,1.8782,0.9995,0.0003,88,47.00,BAC260731P00047000,0.02,0,0,0.02,0,1.1597,-0.0004,0.0003,29
Fri Jul 31 2026,BAC260731C00048000,14.04,0,13,15.55,0,1.453,0.9994,0.0004,71,48.00,BAC260731P00048000,0.08,0,0,0.02,0,1.0806,-0.0006,0.0004,6
Fri Jul 31 2026,BAC260731C00049000,13.03,0,12,14.5,0,1.2778,0.9992,0.0005,22,49.00,BAC260731P00049000,0.03,0,0,0.03,0,1.0512,-0.0007,0.0005,16
Fri Jul 31 2026,BAC260731C00050000,12.05,0,11.45,13.55,0,1.6346,0.9989,0.0008,37,50.00,BAC260731P00050000,0.01,0,0,0.02,0,0.9259,-0.001,0.0008,1214
Fri Jul 31 2026,BAC260731C00051000,11.04,0,9.85,12.4,0,0,0.9986,0.0011,20,51.00,BAC260731P00051000,0.02,0,0,0.03,0,0.8925,-0.0014,0.0011,188
Fri Jul 31 2026,BAC260731C00052000,10.11,0,9.8,11.3,0,1.4559,0.998,0.0015,122,52.00,BAC260731P00052000,0.02,0,0,0.03,0,0.8146,-0.0019,0.0015,418
Fri Jul 31 2026,BAC260731C00053000,9.14,0,8.5,10.3,0,1.1653,0.9973,0.0022,530,53.00,BAC260731P00053000,0.02,0,0,0.03,0,0.7376,-0.0026,0.0022,182
Fri Jul 31 2026,BAC260731C00054000,8.14,0,7.25,9.3,0,0.8677,0.9962,0.0033,368,54.00,BAC260731P00054000,0.02,0,0,0.03,0,0.6612,-0.0037,0.0033,529
Fri Jul 31 2026,BAC260731C00055000,7.15,0,6.9,7.4,0,0,0.9945,0.0051,265,55.00,BAC260731P00055000,0.02,0,0,0.03,0,0.5854,-0.0054,0.0051,813
Fri Jul 31 2026,BAC260731C00056000,6.17,0,5.9,6.4,0,0,0.9919,0.008,513,56.00,BAC260731P00056000,0.01,0,0,0.01,0,0.4442,-0.008,0.008,3965
Fri Jul 31 2026,BAC260731C00057000,5.13,0,4.9,5.4,0,0,0.9874,0.0132,348,57.00,BAC260731P00057000,0.03,0,0,0.04,0,0.4537,-0.0126,0.0132,935
Fri Jul 31 2026,BAC260731C00058000,4.55,0.325,3.9,4.45,3,0,0.9781,0.024,998,58.00,BAC260731P00058000,0.01,-0.015,0.01,0.04,1,0.3896,-0.0218,0.024,1260
Fri Jul 31 2026,BAC260731C00059000,3.12,-0.18,2.95,3.45,2,0.2433,0.9547,0.0486,1335,59.00,BAC260731P00059000,0.08,0.035,0.03,0.07,2,0.3533,-0.0452,0.0487,6005
Fri Jul 31 2026,BAC260731C00060000,2.28,0,2.02,2.32,0,0,0.8942,0.101,3466,60.00,BAC260731P00060000,0.11,0,0.09,0.11,15,0.3133,-0.106,0.1015,8796
Fri Jul 31 2026,BAC260731C00061000,1.52,0.015,1.33,1.46,7,0.2671,0.7628,0.1798,2719,61.00,BAC260731P00061000,0.25,0,0.23,0.28,37,0.2978,-0.2382,0.181,3855
Fri Jul 31 2026,BAC260731C00062000,0.71,-0.1,0.68,0.81,130,0.273,0.5523,0.2376,18078,62.00,BAC260731P00062000,0.65,0.085,0.55,0.63,21,0.2896,-0.4507,0.24,3491
Fri Jul 31 2026,BAC260731C00063000,0.3,-0.05,0.3,0.32,18,0.2667,0.3182,0.2179,11008,63.00,BAC260731P00063000,1.11,0,1.11,1.22,0,0.2882,-0.6873,0.2202,542
Fri Jul 31 2026,BAC260731C00064000,0.1,-0.02,0.09,0.11,48,0.2641,0.1414,0.1372,5709,64.00,BAC260731P00064000,1.92,0,1.73,2.2,0,0.3012,-0.8658,0.1386,1372
Fri Jul 31 2026,BAC260731C00065000,0.04,0.005,0.02,0.06,12,0.2896,0.0512,0.0631,3066,65.00,BAC260731P00065000,2.95,0,2.65,3.15,0,0.3408,-0.9568,0.0635,5
Fri Jul 31 2026,BAC260731C00066000,0.02,0.005,0,0.02,1,0.2918,0.0184,0.0256,2248,66.00,BAC260731P00066000,3.72,0,3.6,4.15,0,0.3896,-0.9883,0.0228,0
Fri Jul 31 2026,BAC260731C00067000,0.01,0.005,0,0.01,2,0.3243,0.0075,0.0109,283,67.00,BAC260731P00067000,4.97,0,4.6,5.1,0,0.4059,-0.9969,0.0073,0
Fri Jul 31 2026,BAC260731C00068000,0.01,0,0,0.01,0,0.3804,0.0034,0.005,18,68.00,BAC260731P00068000,5.97,0,5.6,6.1,0,0.4717,-0.9991,0.0022,0
Fri Jul 31 2026,BAC260731C00069000,0.01,0,0,0.01,0,0.4348,0.0017,0.0025,416,69.00,BAC260731P00069000,6.95,0,4.9,8.55,0,0,-0.9997,0.0007,1
Fri Jul 31 2026,BAC260731C00070000,0.02,0,0,0.03,0,0.5566,0.001,0.0014,81,70.00,BAC260731P00070000,7.85,0,6.3,9.2,0,0,-0.9999,0.0002,1
Fri Jul 31 2026,BAC260731C00071000,0,0,0,0.01,0,0.5391,0.0006,0.0008,0,71.00,BAC260731P00071000,8.89,0,7.5,10.05,0,0,-1,0.0001,0
Fri Jul 31 2026,BAC260731C00072000,0.01,0.005,0,0.01,1,0.5893,0.0003,0.0005,0,72.00,BAC260731P00072000,9.98,0,7.9,11.6,0,0,-1,0,0
Fri Jul 31 2026,BAC260731C00073000,0,0,0,0.01,0,0.6384,0.0002,0.0003,0,73.00,BAC260731P00073000,10.99,0,9.5,12.05,0,0,-1,0,0
Fri Jul 31 2026,BAC260731C00074000,0,0,0,0.01,0,0.6864,0.0001,0.0002,0,74.00,BAC260731P00074000,0,0,9.9,13.6,0,0,-1,0,0
