Source File: bac_quotedata (2).csv
Bank of America Corp,Last: 62.1501,Change:  0.0201
"Date: July 28, 2026 at 9:49 AM EDT",Bid: 62.15,Ask: 62.18,Size: 1000*500,"Volume: 1,610,308"
Expiration Date,Expected Move,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike
Fri Jul 31 2026,$1.34,BAC260731C00064000,0.1,-0.02,0.09,0.11,48,0.2641,0.1414,0.1372,5709,64.00
Source File: bac_quotedata (3).csv



Bank of America Corp,Last: 62.1501,Change:  0.0201
"Date: July 28, 2026 at 9:49 AM EDT",Bid: 62.15,Ask: 62.18,Size: 1000*500,"Volume: 1,610,308"
Expiration Date,Expected Move,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike
Fri Aug 07 2026,$1.98,BAC260807C00065000,0.18,0.015,0.11,0.17,1,0.2202,0.1453,0.0916,1161,65.00
Fri Aug 07 2026,$1.98,BAC260807C00066000,0.08,0,0.04,0.1,0,0.2302,0.0856,0.0598,1004,66.00
Fri Aug 14 2026,$2.46,BAC260814C00065000,0.26,0,0.23,0.33,0,0.2111,0.197,0.0923,196,65.00
Fri Aug 14 2026,$2.46,BAC260814C00066000,0.15,0,0.1,0.18,0,0.2086,0.1218,0.0671,185,66.00
Fri Aug 14 2026,$2.46,BAC260814C00067000,0.07,-0.01,0.04,0.11,10,0.2135,0.0752,0.0459,61,67.00
Fri Aug 21 2026,$2.92,BAC260821C00066000,0.26,0,0.21,0.28,0,0.2057,0.1574,0.0703,884,66.00
Fri Aug 21 2026,$2.92,BAC260821C00067000,0.14,0,0.1,0.17,0,0.2048,0.1015,0.0516,174,67.00
Fri Aug 21 2026,$2.92,BAC260821C00067500,0.1,0,0.07,0.14,0,0.2076,0.0816,0.0434,1582,67.50
Fri Aug 28 2026,$3.34,BAC260828C00066000,0.36,-0.03,0.31,0.48,1,0.2122,0.1902,0.0706,421,66.00
Fri Aug 28 2026,$3.34,BAC260828C00067000,0.23,0,0.14,0.32,0,0.2071,0.1298,0.0553,81,67.00
Fri Aug 28 2026,$3.34,BAC260828C00068000,0.17,0,0.06,0.21,0,0.2062,0.0871,0.0412,26,68.00
