
iShares Russell 2000 Index (ETF),Last: 292.84,Change:  -0.11
"Date: July 28, 2026 at 7:56 AM EDT",Bid: 292.63,Ask: 292.69,Size: 80*1200,"Volume: 19,436,066"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Aug 03 2026,IWM260803C00180000,0,0,112.82,113.25,0,1.1359,0.9998,0,0,180.00,IWM260803P00180000,0,0,0,0.01,0,1.0857,0,0,0
Mon Aug 03 2026,IWM260803C00190000,0,0,102.84,103.25,0,1.0307,0.9998,0,0,190.00,IWM260803P00190000,0,0,0,0.01,0,0.9718,0,0,0
Mon Aug 03 2026,IWM260803C00200000,0,0,92.83,93.27,0,0.8116,0.9998,0,0,200.00,IWM260803P00200000,0,0,0,0.01,0,0.8634,0,0,0
Mon Aug 03 2026,IWM260803C00205000,0,0,87.84,88.27,0,0.8406,0.9998,0,0,205.00,IWM260803P00205000,0,0,0,0.01,0,0.8109,0,0,0
Mon Aug 03 2026,IWM260803C00210000,0,0,82.84,83.28,0,0.7422,0.9997,0,0,210.00,IWM260803P00210000,0,0,0,0.01,0,0.7597,-0.0001,0,0
Mon Aug 03 2026,IWM260803C00215000,0,0,77.84,78.28,0,0.7031,0.9997,0,0,215.00,IWM260803P00215000,0,0,0,0.01,0,0.7094,-0.0001,0,0
Mon Aug 03 2026,IWM260803C00220000,0,0,72.85,73.29,0,0.6625,0.9996,0,0,220.00,IWM260803P00220000,0,0,0,0.01,0,0.6602,-0.0003,0,0
Mon Aug 03 2026,IWM260803C00225000,0,0,67.85,68.29,0,0.6209,0.9994,0.0001,0,225.00,IWM260803P00225000,0,0,0,0.02,0,0.6479,-0.0005,0.0001,0
Mon Aug 03 2026,IWM260803C00230000,0,0,62.86,63.3,0,0.5786,0.999,0.0001,0,230.00,IWM260803P00230000,0,0,0,0.02,0,0.598,-0.0008,0.0001,0
Mon Aug 03 2026,IWM260803C00235000,0,0,57.87,58.3,0,0.5605,0.9985,0.0002,0,235.00,IWM260803P00235000,0,0,0,0.02,0,0.5491,-0.0013,0.0002,0
Mon Aug 03 2026,IWM260803C00240000,0,0,52.87,53.31,0,0.5142,0.9978,0.0003,0,240.00,IWM260803P00240000,0,0,0.01,0.02,0,0.52,-0.0021,0.0003,0
Mon Aug 03 2026,IWM260803C00245000,47.2,0.705,47.88,48.32,1,0.468,0.9966,0.0005,1,245.00,IWM260803P00245000,0.03,-0.005,0.01,0.03,1,0.4845,-0.0032,0.0005,4
Mon Aug 03 2026,IWM260803C00250000,0,0,42.89,43.33,0,0.4344,0.995,0.0008,0,250.00,IWM260803P00250000,0.03,-0.015,0.02,0.04,2,0.4539,-0.0048,0.0008,3
Mon Aug 03 2026,IWM260803C00255000,0,0,37.91,38.34,0,0.411,0.9927,0.0012,0,255.00,IWM260803P00255000,0.05,-0.01,0.03,0.05,2,0.4168,-0.0071,0.0012,1
