Source File: jpm_quotedata (1).csv
JPMorgan Chase & Co,Last: 356.92,Change:  3.71
"Date: July 27, 2026 at 10:17 AM EDT",Bid: 356.9,Ask: 357.11,Size: 40*40,"Volume: 697,906"
Expiration Date,Expected Move,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike
Fri Aug 07 2026,$11.68,JPM260807C00370000,1.46,0.455,1.09,1.93,7,0.2234,0.1921,0.02,96,370.00
Fri Aug 07 2026,$11.68,JPM260807C00372500,0,0,0.71,1.49,0,0.2235,0.1482,0.0169,0,372.50
Fri Aug 07 2026,$11.68,JPM260807C00375000,0.7,0.34,0.59,0.98,2,0.2235,0.1128,0.0139,102,375.00
Fri Aug 14 2026,$14.10,JPM260814C00372500,0,0,1.38,2.52,0,0.2132,0.202,0.0169,0,372.50
Fri Aug 14 2026,$14.10,JPM260814C00375000,1.02,0,0.96,1.88,0,0.2086,0.1632,0.0149,153,375.00
Fri Aug 14 2026,$14.10,JPM260814C00380000,0.8,0.175,0.45,1.2,12,0.2096,0.104,0.0108,98,380.00
Fri Aug 21 2026,$16.35,JPM260821C00375000,2.12,0.565,2,2.49,23,0.2085,0.2026,0.0148,3908,375.00
Fri Aug 21 2026,$16.35,JPM260821C00380000,1.25,0.31,1.21,1.43,9,0.2031,0.1381,0.0116,1574,380.00
Fri Aug 21 2026,$16.35,JPM260821C00385000,0.67,0.1,0.69,0.9,16,0.2029,0.091,0.0086,255,385.00
Fri Aug 28 2026,$19.17,JPM260828C00380000,2.1,0.65,1.72,2.61,1,0.2105,0.1762,0.0119,231,380.00
Fri Aug 28 2026,$19.17,JPM260828C00385000,2.49,1.605,1.1,2.03,1,0.2153,0.1254,0.0095,53,385.00
Fri Aug 28 2026,$19.17,JPM260828C00390000,0.63,0.09,0.69,1.11,7,0.2076,0.0882,0.0073,31,390.00
Source File: jpm_quotedata.csv



JPMorgan Chase & Co,Last: 356.92,Change:  3.71
"Date: July 27, 2026 at 10:15 AM EDT",Bid: 356.9,Ask: 357.11,Size: 40*40,"Volume: 697,906"
Expiration Date,Expected Move,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike
Fri Jul 31 2026,$7.88,JPM260731C00367500,0.61,0.24,0.59,0.7,30,0.2376,0.1427,0.0244,134,367.50
Fri Jul 31 2026,$7.88,JPM260731C00370000,0.41,0.18,0.33,0.41,442,0.2364,0.0894,0.0176,1327,370.00
