
Bank of America Corp,Last: 62.6699,Change:  0.6199
"Date: July 27, 2026 at 10:22 AM EDT",Bid: 62.66,Ask: 62.67,Size: 700*400,"Volume: 4,893,499"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Aug 07 2026,BAC260807C00030000,31.5,0,31.7,33.65,0,0,0.9994,0.0001,2,30.00,BAC260807P00030000,0,0,0,0.03,0,1.5926,-0.0004,0.0001,0
Fri Aug 07 2026,BAC260807C00035000,26.33,0,26.7,28.7,0,1.1889,0.9991,0.0002,11,35.00,BAC260807P00035000,0,0,0,0.02,0,1.2281,-0.0008,0.0002,0
Fri Aug 07 2026,BAC260807C00040000,21.95,0,21.7,23.7,0,0,0.9984,0.0005,45,40.00,BAC260807P00040000,0,0,0,0.03,0,1.0082,-0.0015,0.0005,0
Fri Aug 07 2026,BAC260807C00045000,16.55,0,16.75,18.7,0,0.7729,0.9969,0.0012,2,45.00,BAC260807P00045000,0.06,0,0,0.03,0,0.765,-0.0029,0.0012,11
Fri Aug 07 2026,BAC260807C00046000,15.55,0,15.75,17.7,0,0.7181,0.9965,0.0014,3,46.00,BAC260807P00046000,0.09,0,0,0.03,0,0.7191,-0.0034,0.0014,1
Fri Aug 07 2026,BAC260807C00047000,14.27,0,14.75,16.7,0,0.6644,0.996,0.0017,4,47.00,BAC260807P00047000,0.09,0,0,0.03,0,0.674,-0.0039,0.0017,16
Fri Aug 07 2026,BAC260807C00048000,12.93,0,13.75,15.7,0,0.6117,0.9953,0.002,5,48.00,BAC260807P00048000,0.03,0,0,0.03,0,0.6297,-0.0046,0.002,2
Fri Aug 07 2026,BAC260807C00049000,11.85,0,12.75,14.7,0,0.5599,0.9946,0.0025,9,49.00,BAC260807P00049000,0.04,0,0,0.03,0,0.5861,-0.0053,0.0025,2
Fri Aug 07 2026,BAC260807C00050000,13,1.075,12.5,12.95,5,0.5088,0.9936,0.003,43,50.00,BAC260807P00050000,0.02,0,0,0.03,2,0.5431,-0.0063,0.003,29
Fri Aug 07 2026,BAC260807C00051000,11.09,0,11.5,11.95,0,0.4583,0.9925,0.0038,60,51.00,BAC260807P00051000,0.04,0,0,0.01,0,0.4426,-0.0074,0.0038,303
Fri Aug 07 2026,BAC260807C00052000,10.07,0,10.5,10.95,0,0.408,0.9911,0.0047,68,52.00,BAC260807P00052000,0.01,0,0,0.04,0,0.4761,-0.0088,0.0047,268
Fri Aug 07 2026,BAC260807C00053000,8.45,0,9.5,9.95,0,0.3575,0.9892,0.006,74,53.00,BAC260807P00053000,0.04,0,0,0.04,0,0.4334,-0.0107,0.006,151
Fri Aug 07 2026,BAC260807C00054000,7.33,0,8.55,9,0,0.4525,0.9867,0.0078,41,54.00,BAC260807P00054000,0.06,0,0.01,0.05,0,0.4145,-0.0132,0.0078,25
