
Bank of America Corp,Last: 62.6699,Change:  0.6199
"Date: July 27, 2026 at 10:22 AM EDT",Bid: 62.66,Ask: 62.67,Size: 700*400,"Volume: 4,893,499"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jul 31 2026,BAC260731C00030000,31.4,0,31.7,33.45,0,0,0.9998,0,15,30.00,BAC260731P00030000,0,0,0,0.01,0,2.328,-0.0001,0,0
Fri Jul 31 2026,BAC260731C00035000,26.45,0,26.7,28.45,0,0,0.9997,0.0001,17,35.00,BAC260731P00035000,0.02,0,0,0.02,0,1.9928,-0.0002,0.0001,9
Fri Jul 31 2026,BAC260731C00040000,22.25,0,21.7,23.65,0,1.4811,0.9994,0.0002,84,40.00,BAC260731P00040000,0.03,0,0,0.02,0,1.5662,-0.0005,0.0002,8
Fri Jul 31 2026,BAC260731C00043000,19.46,0.31,18.7,20.45,1,0,0.9991,0.0004,2,43.00,BAC260731P00043000,0.05,0,0,0.02,0,1.3332,-0.0008,0.0004,2
Fri Jul 31 2026,BAC260731C00044000,18.34,-0.16,17.7,19,2,0,0.999,0.0004,2,44.00,BAC260731P00044000,0.03,0,0,0.02,0,1.2586,-0.0009,0.0004,19
Fri Jul 31 2026,BAC260731C00045000,17.25,0.05,16.75,17.95,5,0,0.9988,0.0005,61,45.00,BAC260731P00045000,0.02,0,0,0.02,0,1.1855,-0.0011,0.0005,29
Fri Jul 31 2026,BAC260731C00046000,16.51,0.26,15.75,17.4,5,0,0.9985,0.0007,4,46.00,BAC260731P00046000,0.03,0,0,0.02,0,1.1138,-0.0014,0.0007,23
Fri Jul 31 2026,BAC260731C00047000,15.67,0.345,14.75,16.3,3,0,0.9982,0.0008,10,47.00,BAC260731P00047000,0.02,0,0,0.02,0,1.0433,-0.0017,0.0008,29
Fri Jul 31 2026,BAC260731C00048000,14.43,0.08,13.8,15.4,2,0,0.9979,0.0011,26,48.00,BAC260731P00048000,0.08,0,0,0.02,0,0.974,-0.002,0.0011,6
Fri Jul 31 2026,BAC260731C00049000,13.62,0.445,12.75,14.65,1,1.0076,0.9974,0.0014,16,49.00,BAC260731P00049000,0.03,0,0,0.02,0,0.9057,-0.0025,0.0014,16
