
JPMorgan Chase & Co,Last: 356.92,Change:  3.71
"Date: July 27, 2026 at 10:17 AM EDT",Bid: 356.9,Ask: 357.11,Size: 40*40,"Volume: 697,906"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Aug 07 2026,JPM260807C00170000,0,0,186.15,188.65,0,1.6673,0.9997,0,0,170.00,JPM260807P00170000,0.1,0,0,2.13,0,2.2371,-0.0002,0,32
Fri Aug 07 2026,JPM260807C00175000,0,0,181.15,183.65,0,1.595,0.9997,0,0,175.00,JPM260807P00175000,0.01,0,0,2.13,0,2.1587,-0.0002,0,68
Fri Aug 07 2026,JPM260807C00180000,0,0,176.75,178.7,0,1.8111,0.9996,0,0,180.00,JPM260807P00180000,0,0,0,2.13,0,2.0824,-0.0002,0,0
Fri Aug 07 2026,JPM260807C00185000,0,0,171.25,173.7,0,1.5515,0.9996,0,0,185.00,JPM260807P00185000,0,0,0,2.13,0,2.0082,-0.0003,0,0
Fri Aug 07 2026,JPM260807C00190000,0,0,166.8,168.7,0,1.6862,0.9996,0,0,190.00,JPM260807P00190000,0,0,0,2.13,0,1.936,-0.0003,0,0
Fri Aug 07 2026,JPM260807C00195000,0,0,161.8,163.7,0,1.6193,0.9995,0,0,195.00,JPM260807P00195000,0.2,0,0,2.13,0,1.8655,-0.0003,0,1
Fri Aug 07 2026,JPM260807C00200000,0,0,156.25,158.95,0,1.4641,0.9995,0,0,200.00,JPM260807P00200000,0.17,0,0,2.13,0,1.7967,-0.0004,0,1
Fri Aug 07 2026,JPM260807C00205000,0,0,151.75,153.7,0,1.4775,0.9994,0,0,205.00,JPM260807P00205000,0.18,0,0,2.13,0,1.7295,-0.0004,0,3
Fri Aug 07 2026,JPM260807C00210000,0,0,146.55,148.7,0,1.3582,0.9994,0,0,210.00,JPM260807P00210000,0.16,0,0,2.13,0,1.6638,-0.0005,0,2
Fri Aug 07 2026,JPM260807C00215000,0,0,141.3,143.75,0,1.2265,0.9993,0,0,215.00,JPM260807P00215000,0.1,0,0,2.13,0,1.5995,-0.0006,0,15
Fri Aug 07 2026,JPM260807C00220000,0,0,136.85,138.75,0,1.3321,0.9992,0,0,220.00,JPM260807P00220000,0.18,0,0,2.13,0,1.5366,-0.0007,0,54
Fri Aug 07 2026,JPM260807C00225000,0,0,131.85,133.75,0,1.2738,0.9991,0,0,225.00,JPM260807P00225000,0.1,0,0,2.13,0,1.4749,-0.0008,0,7
Fri Aug 07 2026,JPM260807C00230000,0,0,126.25,128.75,0,1.0367,0.999,0.0001,0,230.00,JPM260807P00230000,0.2,0,0,2.13,0,1.4145,-0.0009,0.0001,13
Fri Aug 07 2026,JPM260807C00235000,0,0,121.25,123.75,0,0.9834,0.9988,0.0001,0,235.00,JPM260807P00235000,0.2,0,0,2.13,0,1.3551,-0.001,0.0001,103
Fri Aug 07 2026,JPM260807C00240000,0,0,116.4,119.05,0,1.0741,0.9987,0.0001,0,240.00,JPM260807P00240000,0.2,0,0,2.13,0,1.2968,-0.0012,0.0001,23
Fri Aug 07 2026,JPM260807C00245000,0,0,111.65,113.8,0,1.0213,0.9985,0.0001,0,245.00,JPM260807P00245000,0.2,0,0,2.13,0,1.2396,-0.0014,0.0001,22
Fri Aug 07 2026,JPM260807C00250000,0,0,106.7,108.8,0,0.9803,0.9983,0.0001,0,250.00,JPM260807P00250000,0.02,0,0,2.13,0,1.1832,-0.0016,0.0001,20
