
JPMorgan Chase & Co,Last: 356.92,Change:  3.71
"Date: July 27, 2026 at 10:15 AM EDT",Bid: 356.9,Ask: 357.11,Size: 40*40,"Volume: 697,906"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jul 31 2026,JPM260731C00165000,181,0,191.7,193.5,0,3.2385,0.9999,0,1,165.00,JPM260731P00165000,0.1,0,0,0.05,0,2.4059,0,0,20
Fri Jul 31 2026,JPM260731C00170000,0,0,186.7,188.5,0,3.1195,0.9999,0,0,170.00,JPM260731P00170000,0.21,0.205,0,0.25,3,2.7118,0,0,72
Fri Jul 31 2026,JPM260731C00175000,182.77,5.07,181.75,183.5,6,3.03,0.9999,0,0,175.00,JPM260731P00175000,0.03,0,0,2.13,0,3.5041,0,0,46
Fri Jul 31 2026,JPM260731C00180000,177.77,5.57,176.75,178.5,6,2.9171,0.9999,0,0,180.00,JPM260731P00180000,0.01,0,0,2.13,0,3.3803,0,0,1
Fri Jul 31 2026,JPM260731C00185000,0,0,171.7,173.5,0,2.7827,0.9999,0,0,185.00,JPM260731P00185000,0.01,0,0,2.13,0,3.2597,0,0,20
Fri Jul 31 2026,JPM260731C00190000,0,0,166.2,168.55,0,2.3849,0.9999,0,0,190.00,JPM260731P00190000,0,0,0,2.13,0,3.1423,0,0,0
Fri Jul 31 2026,JPM260731C00195000,0,0,161.05,163.55,0,2.1174,0.9999,0,0,195.00,JPM260731P00195000,0,0,0,2.13,0,3.0278,0,0,0
Fri Jul 31 2026,JPM260731C00200000,0,0,156.7,158.55,0,2.495,0.9999,0,0,200.00,JPM260731P00200000,0,0,0,2.13,0,2.9161,0,0,0
Fri Jul 31 2026,JPM260731C00205000,0,0,151.65,153.55,0,2.3739,0.9999,0,0,205.00,JPM260731P00205000,0.01,-0.09,0,0.01,4,1.5515,0,0,67
Fri Jul 31 2026,JPM260731C00210000,119.77,0,146.65,148.55,0,2.2779,0.9999,0,0,210.00,JPM260731P00210000,0,0,0,2.13,0,2.7002,0,0,0
Fri Jul 31 2026,JPM260731C00215000,0,0,141.05,143.55,0,1.7587,0.9999,0,0,215.00,JPM260731P00215000,0,0,0,2.13,0,2.5958,0,0,0
Fri Jul 31 2026,JPM260731C00220000,0,0,136.65,138.55,0,2.0924,0.9999,0,0,220.00,JPM260731P00220000,0.04,0,0,2.13,0,2.4936,0,0,2
Fri Jul 31 2026,JPM260731C00225000,0,0,131.7,133.55,0,2.0225,0.9999,0,0,225.00,JPM260731P00225000,0.03,0,0,2.13,0,2.3934,0,0,41
Fri Jul 31 2026,JPM260731C00230000,0,0,126.05,128.55,0,1.5104,0.9999,0,0,230.00,JPM260731P00230000,0.02,0,0,2.13,0,2.2952,0,0,67
Fri Jul 31 2026,JPM260731C00235000,0,0,121.75,123.55,0,1.8654,0.9999,0,0,235.00,JPM260731P00235000,0.67,0,0,2.13,0,2.1987,0,0,10
Fri Jul 31 2026,JPM260731C00240000,0,0,116.7,118.55,0,1.7626,0.9999,0,0,240.00,JPM260731P00240000,0.01,0,0,2.13,0,2.104,0,0,3
Fri Jul 31 2026,JPM260731C00245000,0,0,111.4,113.55,0,1.558,0.9999,0,0,245.00,JPM260731P00245000,0,0,0,2.13,0,2.011,0,0,0
Fri Jul 31 2026,JPM260731C00250000,0,0,106.7,108.55,0,1.5976,0.9999,0,0,250.00,JPM260731P00250000,0.34,0,0,2.13,0,1.9194,0,0,15
Fri Jul 31 2026,JPM260731C00255000,90.25,0,101.75,103.55,0,1.5331,0.9999,0,1,255.00,JPM260731P00255000,0,0,0,2.13,0,1.8293,-0.0001,0,0
Fri Jul 31 2026,JPM260731C00260000,80.6,0,96.75,98.6,0,1.4682,0.9999,0,1,260.00,JPM260731P00260000,0.21,0,0,2.13,0,1.7406,-0.0001,0,96
Fri Jul 31 2026,JPM260731C00265000,67.67,0,91.75,93.6,0,1.3896,0.9998,0,1,265.00,JPM260731P00265000,0.04,0,0,2.13,0,1.6531,-0.0001,0,47
Fri Jul 31 2026,JPM260731C00270000,74.06,0,86.8,88.6,0,1.3251,0.9998,0,2,270.00,JPM260731P00270000,0.2,0,0,2.13,0,1.5667,-0.0002,0,15
Fri Jul 31 2026,JPM260731C00275000,68.6,0,81.1,83.6,0,0.9714,0.9997,0,1,275.00,JPM260731P00275000,0.03,0,0,2.13,0,1.4814,-0.0002,0,13
Fri Jul 31 2026,JPM260731C00280000,61.1,0,76.75,78.6,0,1.1607,0.9996,0,1,280.00,JPM260731P00280000,0.02,0,0,2.13,0,1.3971,-0.0003,0,63
Fri Jul 31 2026,JPM260731C00285000,0,0,71.1,73.6,0,0.8399,0.9995,0.0001,0,285.00,JPM260731P00285000,0.19,0,0,1.14,0,1.1634,-0.0004,0.0001,66
Fri Jul 31 2026,JPM260731C00290000,38.59,0,66.8,68.6,0,1.0242,0.9994,0.0001,1,290.00,JPM260731P00290000,0.04,0,0,0.15,0,0.8061,-0.0006,0.0001,102
Fri Jul 31 2026,JPM260731C00295000,34.21,0,61.8,63.6,0,0.9512,0.9991,0.0001,1,295.00,JPM260731P00295000,0.05,0,0,0.75,0,0.9405,-0.0008,0.0001,165
Fri Jul 31 2026,JPM260731C00300000,51,0,56.75,58.6,0,0.8692,0.9987,0.0002,145,300.00,JPM260731P00300000,0.02,-0.03,0,0.03,4,0.5786,-0.0012,0.0002,174
Fri Jul 31 2026,JPM260731C00305000,35.77,0,51.8,53.6,0,0.8075,0.9982,0.0003,5,305.00,JPM260731P00305000,0.1,0,0,0.75,0,0.8006,-0.0018,0.0003,255
Fri Jul 31 2026,JPM260731C00307500,0,0,48.65,51.1,0,0.5927,0.9978,0.0004,0,307.50,JPM260731P00307500,0,0,0,1.2,0,0.8368,-0.0022,0.0004,0
Fri Jul 31 2026,JPM260731C00310000,31.75,0,46.75,48.6,0,0.7278,0.9973,0.0004,10,310.00,JPM260731P00310000,0.03,-0.015,0,0.07,1,0.5232,-0.0027,0.0004,239
Fri Jul 31 2026,JPM260731C00312500,29.97,0,43.65,46.15,0,0.5558,0.9966,0.0006,1,312.50,JPM260731P00312500,0.05,0,0,0.11,0,0.5238,-0.0033,0.0006,18
Fri Jul 31 2026,JPM260731C00315000,38,0,41.45,43.65,0,0.6108,0.9958,0.0007,12,315.00,JPM260731P00315000,0.08,0,0,0.14,0,0.5115,-0.0042,0.0007,254
Fri Jul 31 2026,JPM260731C00317500,35.44,0,39,41.15,0,0.5877,0.9947,0.0009,1,317.50,JPM260731P00317500,0.1,0,0,0.6,0,0.6028,-0.0052,0.0009,80
Fri Jul 31 2026,JPM260731C00320000,30.57,0,36.75,38.65,0,0.5957,0.9933,0.0012,62,320.00,JPM260731P00320000,0.01,-0.055,0,0.04,3,0.3924,-0.0066,0.0012,689
Fri Jul 31 2026,JPM260731C00322500,26.8,0,33.65,36.15,0,0.435,0.9914,0.0015,0,322.50,JPM260731P00322500,0.05,-0.05,0,0.09,10,0.4033,-0.0085,0.0015,135
Fri Jul 31 2026,JPM260731C00325000,32.43,4.68,31.2,33.65,1,0.4214,0.9889,0.0019,72,325.00,JPM260731P00325000,0.08,-0.045,0.05,0.1,23,0.4026,-0.011,0.0019,1093
Fri Jul 31 2026,JPM260731C00327500,25.68,0,28.7,31.2,0,0.4044,0.9855,0.0025,74,327.50,JPM260731P00327500,0.04,-0.125,0.05,0.11,10,0.3777,-0.0144,0.0025,689
Fri Jul 31 2026,JPM260731C00330000,28.02,5.57,26.4,28.7,5,0.4125,0.9808,0.0034,243,330.00,JPM260731P00330000,0.1,-0.115,0.07,0.11,58,0.3552,-0.0192,0.0034,1034
Fri Jul 31 2026,JPM260731C00332500,20.45,0,24.35,26.25,0,0.4423,0.9742,0.0045,89,332.50,JPM260731P00332500,0.12,-0.195,0.1,0.14,26,0.3412,-0.0257,0.0045,1682
Fri Jul 31 2026,JPM260731C00335000,22.77,4.77,22,23.25,2,0.3668,0.965,0.006,547,335.00,JPM260731P00335000,0.17,-0.29,0.14,0.19,98,0.3284,-0.0349,0.006,1057
Fri Jul 31 2026,JPM260731C00337500,19.82,4.045,19.55,21.35,1,0.3948,0.9518,0.0081,129,337.50,JPM260731P00337500,0.25,-0.395,0.2,0.26,29,0.3157,-0.0483,0.0081,1067
Fri Jul 31 2026,JPM260731C00340000,19.07,5.895,17.05,18.95,11,0.3634,0.9331,0.0108,1273,340.00,JPM260731P00340000,0.31,-0.58,0.3,0.37,199,0.3061,-0.0671,0.0109,2185
Fri Jul 31 2026,JPM260731C00342500,16.74,5.165,14.7,16.65,9,0.3464,0.9067,0.0144,176,342.50,JPM260731P00342500,0.5,-0.755,0.46,0.54,48,0.2987,-0.0937,0.0144,202
Fri Jul 31 2026,JPM260731C00345000,13,3.425,12.65,13.8,61,0.3097,0.8704,0.0187,975,345.00,JPM260731P00345000,0.69,-1.065,0.61,0.81,116,0.2855,-0.1302,0.0188,778
Fri Jul 31 2026,JPM260731C00347500,11.49,3.79,10.6,11.6,79,0.3029,0.8226,0.0238,287,347.50,JPM260731P00347500,1.03,-1.4,0.97,1.14,83,0.2823,-0.1784,0.0239,739
Fri Jul 31 2026,JPM260731C00350000,8.84,2.865,8.4,9.45,88,0.2816,0.7619,0.0292,3982,350.00,JPM260731P00350000,1.5,-1.725,1.41,1.65,586,0.2717,-0.2396,0.0294,429
Fri Jul 31 2026,JPM260731C00352500,7.45,2.925,6.7,7.65,41,0.2847,0.6874,0.0345,784,352.50,JPM260731P00352500,2.1,-2.175,1.73,2.4,92,0.2625,-0.315,0.0348,260
Fri Jul 31 2026,JPM260731C00355000,5.44,2.165,5.1,5.65,547,0.2667,0.5986,0.0389,2223,355.00,JPM260731P00355000,3,-2.475,2.82,3.15,144,0.2606,-0.4047,0.0393,56
Fri Jul 31 2026,JPM260731C00357500,3.8,1.55,3.65,4.15,96,0.258,0.4991,0.0412,919,357.50,JPM260731P00357500,4.05,-3.25,3.7,4.25,115,0.2476,-0.5055,0.0416,60
Fri Jul 31 2026,JPM260731C00360000,2.65,1.13,2.44,2.88,302,0.2517,0.3961,0.0404,1454,360.00,JPM260731P00360000,5.22,-3.755,4.95,5.85,59,0.2512,-0.6098,0.0409,61
Fri Jul 31 2026,JPM260731C00362500,1.75,0.72,1.6,2.03,31,0.2484,0.2986,0.0368,1058,362.50,JPM260731P00362500,6.25,-4.575,5.85,7.25,14,0.2095,-0.7086,0.0373,2
Fri Jul 31 2026,JPM260731C00365000,1.14,0.495,1,1.22,268,0.2415,0.213,0.0311,906,365.00,JPM260731P00365000,7.84,-5.335,7.5,9.4,1,0.1861,-0.7954,0.0315,0
Fri Jul 31 2026,JPM260731C00367500,0.61,0.24,0.59,0.7,30,0.2376,0.1427,0.0244,134,367.50,JPM260731P00367500,10,-5.35,9.6,11.65,11,0.1985,-0.8667,0.0248,0
Fri Jul 31 2026,JPM260731C00370000,0.41,0.18,0.33,0.41,442,0.2364,0.0894,0.0176,1327,370.00,JPM260731P00370000,12.9,-5.05,11.9,14.3,2,0.2278,-0.9211,0.0181,15
Fri Jul 31 2026,JPM260731C00372500,0.21,0.095,0.18,0.29,67,0.2437,0.0529,0.0118,53,372.50,JPM260731P00372500,31.15,0,14.2,16.05,0,0,-0.9586,0.0121,0
Fri Jul 31 2026,JPM260731C00375000,0.14,0.055,0.09,0.14,39,0.2397,0.0307,0.0076,204,375.00,JPM260731P00375000,27.2,0,16.65,18.8,0,0,-0.9805,0.0072,1
Fri Jul 31 2026,JPM260731C00377500,0.07,0.005,0.05,0.07,8,0.2406,0.0189,0.0049,1,377.50,JPM260731P00377500,0,0,19.1,21,0,0,-0.991,0.0039,0
Fri Jul 31 2026,JPM260731C00380000,0.04,-0.26,0.01,0.06,20,0.2466,0.0128,0.0034,62,380.00,JPM260731P00380000,0,0,21.6,23.45,0,0,-0.9952,0.0023,0
Fri Jul 31 2026,JPM260731C00385000,0.27,0,0,2.1,0,0.5423,0.0076,0.0019,2,385.00,JPM260731P00385000,42.55,0,26.6,28.45,0,0,-0.998,0.001,0
